name,company_name,phone,email,address,industry_type,service_type,call_type,remarks,status,schedule_date
SIBIN,SIBIN Group," 7585903879
",nreependra.subba@sibingroup.com,"Sichey Cooperative Taxi Stand, Gangtok - East.
Sikkim-703101",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
Suntronic,Suntronic Systems,9830610028,debraj@suntronics.in,"209 AJC Bose Road, Karnani Estate, Kolkata-700017.",Electricity,NA,Deal Cancel,Customer don’t have any requirement.,Pending,1/30/2025
M Intergraph Systems Private,M Intergraph Systems Private Limited.,"9899916225
",rupesh.ratish@mintergraph.com,"19/A, Laxmi Nagar Colony, Kolkata-700074.",Electricity,NA,Busy,Busy,Pending,1/30/2025
Smart Planet IT Solutions Pvt.,Smart Planet IT Solutions Pvt. Ltd.," 7044078481
",pinaki.c@smartplanet.co.in,"106/C, Selimpur Road, Dhakuria, Kolkata- 700031",Electricity,NA,Incorrect number,Wrong number,Pending,1/30/2025
"ATHENA MICROSYSTEMS
(P)","ATHENA MICROSYSTEMS
(P) LTD.","033 32522379 / 98311 58081 /
9830980835",athenamicrosystemspltd@rediffmail. com,"3A, St. James Street, 1st Floor, Kolkata-700 012",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
BARD ROY INFOTECH (P),BARD ROY INFOTECH (P) LTD,"2289-3179-82
9831804176
",avinash@bardroy.com,"10/4B, Elgin Road, 1st Floor, Kolkata-700 020",Electricity,NA,Incorrect number,Number automatically ended,Pending,1/30/2025
NETCOM INFOTECH PVT.,NETCOM INFOTECH PVT. LTD.,"033-22265256
9830027464",poddar@netcominfotech.in,"95A, A.J.C. Bose Road, 1st Floor, Kolkata-700 014.",Electricity,NA,Deal Cancel,Customer don’t have any requirement.,Pending,1/30/2025
ODYSSEY COMPUTER SERVICES (P),ODYSSEY COMPUTER SERVICES (P) LTD,"033-22434343
9830055000",ketan@odysseygroup.co.in,"8, Lyons Range, 1st Floor, Kolkata- 700 001.",Electricity,NA,Deal Cancel,They have the team to manage the digital marketing services,Pending,1/30/2025
SSTIS TECHNOLOGIES PRIVATE,SSTIS TECHNOLOGIES PRIVATE LIMITED,"9831040113/9432209818/8961510494
/9433947142",sstis.india@gmail.com/sstis@rediffm ail.com ,"Prantika Apartment, Flat-GC/A,22 Narayantala road (west), Baguiati, Kolkata-59.",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
SUNTRONIC,SUNTRONIC SYSTEMS,"9007611151
033-22137434",kamal@suntronics.in pradeep@suntronics.in debraj@suntronics.in,"Sri Kamal Dey, 10, Bentink Street,
Gandhi House, Kolkata-1",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
VARELI TECNAC PVT,VARELI TECNAC PVT LTD,22354511/22358406/22356672,info@vareli.co.in sanjeevr@vareli.co.in,"14/1B, EZRA STREET, KOLKATA-01",Electricity,NA,Switch off,The number is not registered,Pending,1/30/2025
WIZERTECH INFORMATICS PVT.,WIZERTECH INFORMATICS PVT. LTD.,"033-23576555
8420066965",arindamc@wizertech.com,"1St floor, Plot-Y5, Block-EP, Sector-V, Salt Lake, Kolkata-700 091.",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
BINARY SOLUTIONS PVT.,BINARY SOLUTIONS PVT. LTD.,9830021721,sujay@binary.co.in,"2, Circus Market Place, 2nd Floor, Kolkata- 700017",Electricity,NA,Busy,Busy,Pending,1/30/2025
DIGITAL CARE PRIVATE,DIGITAL CARE PRIVATE LIMITED,"033 24632601
8335958842",nirmal.rudra@e-digitalcare.com,"4B, Pratapaditya Road, 2nd Floor, Sonia Building, Kolkata-700026",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
SOM IMAGING INFORMATICS PVT.,SOM IMAGING INFORMATICS PVT. LTD.,9836691919,victor.bandhyopadhyay@sommetics. in,"3, Chowringhee Terrace, Kolkata-700 020",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
KRG COMPUTER PVT.,KRG COMPUTER PVT. LTD.," 9830162937
",vineet@krgkart.com,"1, Chadni Chowk Street, Kolkata-700072.",Electricity,NA,Busy,Busy,Pending,1/30/2025
ARIN,ARIN COMPUTER,9831148297,info@arincomputer.co arindam@arincomputer.co,"6A,Kiran Sankar Roy Road, 2nd Floor, Kolkata-700001",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
JUPITER,JUPITER COMPUTERS,"033-2483-8553/9433009375
033-2429-6666",admin@jupitercomputers.in,"45A/1,Jadavpur Central Road,Kolkata-700032",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
DIGITRON,DIGITRON SYSTEMS,"9830220626
033-2592-5593",digisys2@hotmail.com,"K.P. Roy Chowdhury Road,Monirampur,Barrackpore, Kolkata-700120",Electricity,NA,Warm Call,He said to call back on last week of feb and march before that he need crm software demo.,Pending,1/30/2025
THREE ACES COMPUTERS PVT,THREE ACES COMPUTERS PVT LTD,"9903081648
9903081645",threeacescomputers@gmail.com,"74/2,Ibrahimpur Road,Jadavpur, Kolkata-700032",Electricity,NA,Incorrect number,Call ended autometically,Pending,1/30/2025
EAGLE INFORMATION SYSTEMS PVT,EAGLE INFORMATION SYSTEMS PVT LTD,"033-65350835
9831073531",kolkata@eagle.in,"7/22,1st Floor,Cornfield Road,Gariahat, Kolkata-700019",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
HITACHI HI-REL POWER ELECTRONICS PVT.,HITACHI HI-REL POWER ELECTRONICS PVT. LTD.,"033-3053 3900 

9007476296",k_moharana@hitachi-hirel.com ,"J-1/16, EP Block, 902- Shaila Tower, 9th Floor, Salt Lake, Sector-V, Kolkata- 700091.",Electricity,NA,Busy,The network is busy,Pending,1/30/2025
BETTER POWER SERVICES PVT.,BETTER POWER SERVICES PVT. LTD.,"0361-2367721 / 2733438
9748394218",kolkata@betterpower.co.in,"110/10, Selimpur Road, Gr. Fl. Kolkata-700031",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
NOVATEUR ELECTRICAL & DIGITAL SYSTEMS PVT.,NOVATEUR ELECTRICAL & DIGITAL SYSTEMS PVT. LTD.,"24609232-34/9051098910
044-24993266","calsales@numericups.com, abhijit.guha@numericups.com, cal.oem@numericups.com","Sri Abhijit Guha,
242, Rashbehari Avenue, 2nd Floor, Kolkata-700019.",Electricity,NA,Archeived,"He said to share the company address, no., email.",Pending,1/30/2025
POWER - ONE MICRO SYSTEMS (P),POWER - ONE MICRO SYSTEMS (P) LTD.,"033 24413050
9831202198
9830116680",apratim@poweroneups.com,"Block-FB, Plot-23, No. 613, Rajdanga Main Road, Kolkata-700 107.",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
KAIZEN IT SERVICES PVT,KAIZEN IT SERVICES PVT LTD,"033-64995001/2/3/4/5
9830136397",Kanchan.Sen@Kaizencare.net,"P-36,Gariahat Road (South), Kolkata-700031",Electricity,NA,Incorrect number,Call ended autometically,Pending,1/30/2025
DOS,DOS INFOTECH,"033-25451001
9433044745",dos_it@rediffmail.com mssm3@rediffmail.com,"P-15,Unique Park, Behala, Kolkata-700034
95C,C-Road, Ananadapuri, Barrackpore, Kolkata-700122",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
EARTHLINE INFOCOM (P),EARTHLINE INFOCOM (P) LIMITED,"9830794387
9230558900
033-23347702/
033-64564222",cl@earthlineinfo.net contact@earthlineinfo.net,"PL-174,Sector-II,Salt Lake City, Kolkata-700091 Deypara,Monirampore,Barrackpore, Kolkata-700120",Electricity,NA,Archeived,Customer don’t have any requirement right now,Pending,1/30/2025
FRONTAGE,FRONTAGE INFOWORLD,"91-3325213935
9830407320",frontage@gmail.com,"287, S. K. Deb Road, Lake Town Kolkata-700048.",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
Computer Technology,Computer Technology Services,"9830113293
",sales@cts.net.in,"246, Diamond Harbour Road, Kolkata-700060",Electricity,NA,Need to call back,Customer said to call back on 1st feb,Pending,1/30/2025
Empact Solutions Pvt,Empact Solutions Pvt Ltd.,"9836000552 / 9836000553
",shouvik@empactsolutions.com debabrata@empactsolutions.com,"73, Lenin Sarani, Kolkata-700013.",Electricity,NA,Need to call back,Customer Said to call back after 12pm,Pending,1/30/2025
Prime Infoserv,Prime Infoserv LLP,9830017040,smukherjee@prime infoserv.com,"DL 124, 1St Floor, Sector-II, Salt Lake, Kolkata- 700091.",Electricity,NA,Busy,Busy,Pending,1/30/2025
GLOBSYN INNOVENTURES PRIVATE,GLOBSYN INNOVENTURES PRIVATE LIMITED," 9874213311
",hello@3rd.life,"GLOBSYN CRYSTALS, XI-11&12, BLOCK- EP, SECTOR-V, SALT LAKE, KOLKATA- 700091,",Electricity,NA,Switch off,Switch off,Pending,1/30/2025
COMPUTEK,COMPUTEK,9674162301,abhishek@creativegroup.net.in,"6 ARC SIDE ROAD, 3RD FLOOR, KOLKATA-
700026.",Electricity,NA,Busy ,Busy,Pending,1/30/2025
Indus Integrated Information Management,Indus Integrated Information Management Ltd.,"  9331230633/9474404114
",saikatmukherjee@iiimltd.in,"AE-369, Sector-I, Salt Lake City, Kolkata-700064.",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
Webtown Solutions Pvt.,Webtown Solutions Pvt. Ltd.," 7381080607
",bishnuprath@webtownsolution.com,"IDCO Plot No. : C-3/2, 3rd Floor, Chandaka Industrial Estate, Chandrasekharpur, Bhubaneswar-751021.",Electricity,NA,Busy ,Busy,Pending,1/30/2025
ObjectSol Technologies Pvt.,ObjectSol Technologies Pvt. Ltd.," 9830024942
",mmandal@objectsol.in,"SDF Building, Module-103, Sector-V, Salt Lake,Kolkata-700091.",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
Smart IT Services Pvt.,Smart IT Services Pvt. Ltd.,9830482645,ranjitban@gmail.com,"2A, Chowringhee Square, Tower House, 5th Floor,
Kolkata-700069.",Electricity,NA,Deal Cancel,Already have the services,Pending,1/30/2025
JK Technosoft,JK Technosoft Limited,"  9830632946
",arindam.ghosh@jktech.com,"75C, Park Street, 3rd Floor. Kolkata-700016.",Electricity,NA,Busy ,Busy,Pending,1/30/2025
M Intergraph Systems Private,M Intergraph Systems Private Limited.," 9899916225
",rupesh.ratish@mintergraph.com,"19/A, Laxmi Nagar Colony, Kolkata-700074.",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
Outline Systems India Pvt.,Outline Systems India Pvt. Ltd.," 9830280021
",chandanm@outlinesystemsindia.co m,"Infinity Business Center, 18 th Floor, Infinity Benchmark Building, Block-EP&GP, Plot-G1, Sector-V, Salt Lake, Kolkata-700091.",Electricity,NA,Incorrect number,Call ended autometically,Pending,1/30/2025
Smart Planet IT Solutions Pvt.,Smart Planet IT Solutions Pvt. Ltd.," 7044078481/9164587001
",pinaki.c@smartplanet.co.in,"106/C, Selimpur Road, Dhakuria, Kolkata- 700031",Electricity,NA,Deal Cancel,Customer disconnected the service.,Pending,1/30/2025
